date;cultural_venues;gastronomy;essential_retail;non-essential_retail;major_events;events_and_gatherings;public_gatherings;traceability;tourism;traveling;school_facilities;university_facilities;sport_facilities;medical_facilities;mouth_and_nose_covering;curfew;new_infections
2021-04-11;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_testM_10dqua;openw/test;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;350
2021-04-12;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_testM_10dqua;openw/test;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;179
2021-04-13;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_testM_10dqua;openw/test;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;302
2021-04-14;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_testM_10dqua;openw/test;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;340
2021-04-15;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_testM_10dqua;openw/test;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;244
2021-04-16;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_testM_10dqua;openw/test;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;354
2021-04-17;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_testM_10dqua;openw/test;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;324
2021-04-18;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_testM_10dqua;openw/test;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;403
2021-04-19;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_testM_10dqua;openw/test;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;309
2021-04-20;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_testM_10dqua;openw/test;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;335
2021-04-21;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_testM_10dqua;openw/test;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;435
2021-04-22;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_testM_10dqua;openw/test;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;515
2021-04-23;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/app_negtst;prohibited;prohibitedw/ex_outdoors;allowed_2h_1p;yes;prohibited;ra_testM_10dqua;closed;closed;closed;limited_visitsw/FFP2_test;mandatory_medical;10pm_5am_12act;412
